year;title;author;publisher;classification;library
2014.0;Le testament d'Ariane / Françoise Bourdin;Bourdin, Françoise (1952-....);Paris : Belfond, 2011;BOUR;CABANIS
2016.0;Le Monde des religions:connaître les religions pour comprendre le monde;-;Paris : Malesherbes Publications, 2003-;-;CABANIS
2016.0;Eva / Simon Liberati;Liberati, Simon (1960-....);Paris : Stock, 2015;LIBE;CABANIS
2016.0;La dispute / Édouard Manceau;Manceau, Édouard;Toulouse : Milan jeunesse, 2015;AB MAN;CABANIS
2015.0;Amour mortel / Patrick Sobral;Sobral, Patrick (1972-....);Paris : Delcourt, 2012;BDT SOB Lég 15;CABANIS
2015.0;"Une main encombrante / Henning Mankell ; traduit du suédois par Anna Gibson";Mankell, Henning (1948-2015);Paris : Ed. du Seuil, 2014;P MANK;CABANIS
2015.0;"Le bal des vampires / scénario Gilson ; dessins Clarke ; couleurs Studio Cerise";Gilson, François;Marcinelle : Dupuis, 1995;BD GIL;CABANIS
2018.0;"Un air de famille. 1 / Dessin et couleur William ; Scénario Cazenove et William";Cazenove, Christophe;Charnay-lès-Macon : Bamboo, 2008;BDT CAZ Sis 1;CABANIS
2021.0;Outdoor Go ! : Rando, vélo, kayak... La nature en mouvements;-;Saint-herblain : Euptouyou, 2017-;-;CABANIS
2021.0;"Meilleurs voeux de mariage. 8 / scénario Audrey Alwett ; d'après Frances Hodgson Burnett ; dessin Nora Moretti ; couleurs Marina Duclos";Alwett, Audrey;Toulon : Soleil, 2015;Pri 08;CABANIS
2022.0;"Chaos. 10 / scénario Patrick Sobral, Patricia Lyfoung & Philippe Ogaki ; dessin Jenny ; couleur Mister Choco man";Sobral, Patrick;Paris : Delcourt, 2020;BDT SOB Myt 10;CABANIS
2022.0;"Les Légendaires : origines. 05. Razzia / scénario Patrick Sobral ; dessin et couleur Nadou";Sobral, Patrick (1972-....);Paris : Delcourt, 2017;LEG OR/5;CABANIS
2022.0;"Décollage immédiat ! / scénario Anne Didier, Olivier Muller ; dessin Clément Devaux";Didier, Anne;Toulouse : BD Kids, 2022;BD Ana/15;CABANIS
2015.0;"Invasion / scénario Thitaume ; dessin Romain Pujol ; couleurs Gorobeï";Thitaume;Paris : les Deux royaumes, 2012;BDT THI Lap 2;CABANIS
2011.0;Fruits basket : une corbeille de fruits. 1 / Natsuki Takaya, Trad. par Victoria-Tom, Adapt. par Alexandre Tisserand;Takaya, Natsuki;Paris : Delcourt, 2002;BDTM TAK Fru 1;CABANIS
2016.0;"Lili veut choisir ses habits / Dominique de Saint-Mars ; illustrations de Serge Bloch";Saint-Mars, Dominique de;Coppet (Suisse) : Calligram, 1995;E SAI;CABANIS
2014.0;Le Monde des religions;-;Paris : Malesherbes Publications, 2003-;-;CABANIS
2018.0;Un homme doit mourir / Pascal Dessaint;Dessaint, Pascal (1964-....);Paris : Rivages, 2017;P DES;CABANIS
2018.0;America : l'Amérique comme vous ne l'avez jamais lue;-;Paris : Editions America : Le Un, 2017-;-;CABANIS
2017.0;"Un été trop mortel ! / scénario Delaf ; dessin Maryse Dubuc";Delaf (1973-....);Marcinelle (Belgique) : Dupuis, 2013;BD NOM/06;CABANIS
2017.0;"Des hommes sans femmes / Haruki Murakami ; traduit du japonais par Hélène Morita";Murakami, Haruki (1949-....);Paris : Belfond, 2017;MURA;CABANIS
2011.0;Une nuit, sur la mer / Patricia MacDonald, traduit de l'américain par Nicole Hibert;MacDonald, Patricia J. (1949-....);Paris : Albin Michel, 2011;P MACD;CABANIS
2015.0;Barbe bleue / Amélie Nothomb;Nothomb, Amélie (1967-....);Paris : Albin Michel, 2012;NOTH;CABANIS
2013.0;Le Schtroumpf financier / Peyo;-;Paris : Le Lombard, 1999;-;CABANIS
2018.0;L'art de perdre / Alice Zeniter;Zeniter, Alice (1986-....);Paris : Flammarion, 2017;ZENI;CABANIS
2017.0;"Princesse   Sara ; Mystérieuses héritières / Audrey Alwett ; illustrations Nora Moretti ; d'après Frances Hodgson Burnett";Alwett, Audrey;Toulon : Soleil, 2011;BD  ALW;CABANIS
2013.0;Les plus belles comptines américaines / collectage et commentaires Jeanette Loric, illustrations de Samuel Ribeyron, Charlotte Labaronne, Cécile Hudrisier;-;Paris : Didier Jeunesse, 2005;780.1 P;CABANIS
