titre,artiste,album,langue,genre,annee,source
J'suis PNL,PNL,Le monde Chico,français,Hip-hop/Rap,2015,https://music.apple.com/fr/album/jsuis-pnl/1048964879?i=1048965548&uo=4
Ride,twenty one pilots,Blurryface,français,Alternative,2015,https://music.apple.com/fr/album/ride/974485462?i=974485805&uo=4
À découvert (feat. Ninho),Hiro,À découvert (feat. Ninho) - Single,français,Hip-hop/Rap,2019,https://music.apple.com/fr/album/%C3%A0-d%C3%A9couvert-feat-ninho/1459263765?i=1459263771&uo=4
Cartel (feat. Meryl),Timal,Trop chaud,français,Hip-hop/Rap,2018,https://music.apple.com/fr/album/cartel-feat-meryl/1368469361?i=1368469380&uo=4
Position,Franglish,Prime,français,Hip-hop/Rap,2024,https://music.apple.com/fr/album/position/1727633394?i=1727633400&uo=4
Call Out My Name,The Weeknd,"My Dear Melancholy,",français,R&B/Soul,2018,https://music.apple.com/fr/album/call-out-my-name/1363309866?i=1363310482&uo=4
Chocolat (feat. Awa),Lartiste,Clandestino,français,Hip-hop/Rap,2016,https://music.apple.com/fr/album/chocolat-feat-awa/1170722004?i=1170723240&uo=4
Django (feat. Franglish),Dadju,Gentleman 2.0,français,R&B/Soul,2017,https://music.apple.com/fr/album/django-feat-franglish/1440904018?i=1440904229&uo=4
I Ain't Worried,OneRepublic,Top Gun: Maverick (Music from the Motion Picture),français,Pop,2022,https://music.apple.com/fr/album/i-aint-worried/1621817793?i=1621817894&uo=4
Africa,Toto,Toto IV,français,Rock,1982,https://music.apple.com/fr/album/africa/185716551?i=185717604&uo=4
Wati By Night,Sexion d'Assaut,L'école des points vitaux,français,Hip-hop/Rap,2010,https://music.apple.com/fr/album/wati-by-night/362286829?i=362286893&uo=4
Ramenez la coupe à la maison,Vegedream,Marchand de sable,français,R&B/Soul,2018,https://music.apple.com/fr/album/ramenez-la-coupe-%C3%A0-la-maison/1413378062?i=1413378395&uo=4
Comme d'hab (feat. Alonzo),Jul,My World,français,Hip-hop/Rap,2015,https://music.apple.com/fr/album/comme-dhab-feat-alonzo/1055685497?i=1055685514&uo=4
N'y pense plus,Tayc,N'y pense plus - Single,français,Hip-hop/Rap,2020,https://music.apple.com/fr/album/ny-pense-plus/1517674645?i=1517674969&uo=4
Old Town Road,Lil Nas X,Old Town Road - Single,français,Hip-hop/Rap,2018,https://music.apple.com/fr/album/old-town-road/1456313174?i=1456313177&uo=4
Don't Call Me Up,Mabel,Ivy to Roses (Mixtape),français,Pop,2019,https://music.apple.com/fr/album/dont-call-me-up/1447869528?i=1447869530&uo=4
Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack,français,Bande originale,2018,https://music.apple.com/fr/album/always-remember-us-this-way/1434371867?i=1434372043&uo=4
Emiliana,CKay,Emiliana - Single,français,Afro pop,2021,https://music.apple.com/fr/album/emiliana/1597132174?i=1597132449&uo=4
Tu la love,Jul,Dans ma paranoïa,français,Hip-hop/Rap,2014,https://music.apple.com/fr/album/tu-la-love/799176203?i=799176224&uo=4
WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,français,Alternative,2024,https://music.apple.com/fr/album/wildflower/1739659134?i=1739659144&uo=4
This Is What You Came For,Calvin Harris & Rihanna,This Is What You Came For - Single,français,Dance,2016,https://music.apple.com/fr/album/this-is-what-you-came-for/1108212521?i=1108212668&uo=4
Easy On Me,Adele,30,français,Pop,2021,https://music.apple.com/fr/album/easy-on-me/1590035691?i=1590036021&uo=4
Attentat,Imen Es,Attentat - Single,français,R&B/Soul,2018,https://music.apple.com/fr/album/attentat/1800502938?i=1800503091&uo=4
If I Ain't Got You,Alicia Keys,The Diary of Alicia Keys,français,R&B/Soul,2003,https://music.apple.com/fr/album/if-i-aint-got-you/255342344?i=255343130&uo=4
Rolling In the Deep,Adele,21,français,Pop,2010,https://music.apple.com/fr/album/rolling-in-the-deep/403037872?i=403037877&uo=4
When I Was Your Man,Bruno Mars,Unorthodox Jukebox,français,Pop,2012,https://music.apple.com/fr/album/when-i-was-your-man/572179738?i=572179987&uo=4
Mais je t'aime,Grand Corps Malade & Camille Lellouche,Mesdames,français,Variété française,2020,https://music.apple.com/fr/album/mais-je-taime/1518033576?i=1518033978&uo=4
Bébé (feat. Dadju),MHD,19,français,Hip-hop/Rap,2018,https://music.apple.com/fr/album/b%C3%A9b%C3%A9-feat-dadju/1432799058?i=1432800164&uo=4
Someone You Loved,Lewis Capaldi,Breach - EP,français,Alternative,2018,https://music.apple.com/fr/album/someone-you-loved/1441539148?i=1441539154&uo=4
Sunset Lover,Petit Biscuit,Petit Biscuit - EP,français,Électronique,2015,https://music.apple.com/fr/album/sunset-lover/1111535116?i=1111535562&uo=4
Aucune attache,KeBlack,Aucune attache - Single,français,Hip-hop/Rap,2024,https://music.apple.com/fr/album/aucune-attache/1728032299?i=1728032308&uo=4
Ordinary,Alex Warren,Ordinary - Single,français,Pop,2024,https://music.apple.com/fr/album/ordinary/1793663382?i=1793663645&uo=4
Bené,PNL,Dans la légende,français,Hip-hop/Rap,2016,https://music.apple.com/fr/album/ben%C3%A9/1663880916?i=1663883365&uo=4
Titanium (feat. Sia),David Guetta,Nothing But the Beat Ultimate,français,Dance,2011,https://music.apple.com/fr/album/titanium-feat-sia/726390068?i=726390516&uo=4
Thinking Out Loud,Ed Sheeran,x (Deluxe Edition),français,Pop,2014,https://music.apple.com/fr/album/thinking-out-loud/858512800?i=858517200&uo=4
Afro Trap Pt. 7 (La puissance),MHD,Afro Trap Part. 7 (La puissance) - Single,français,Hip-hop/Rap,2016,https://music.apple.com/fr/album/afro-trap-pt-7-la-puissance/1445292520?i=1445292839&uo=4
Cheap Thrills (feat. Sean Paul),Sia,Cheap Thrills (feat. Sean Paul) - Single,français,Pop,2016,https://music.apple.com/fr/album/cheap-thrills-feat-sean-paul/1082505789?i=1082506273&uo=4
